enrollment_id,member_id,class_type_id,instructor_id,facility_id,area_id,enrollment_date,class_date,scheduled_start_time,actual_start_time,scheduled_end_time,actual_end_time,enrollment_status,checkin_time,checkout_time,attendance_status,payment_amount,instructor_rating,member_satisfaction_score,last_modified
ENR00000001,MEM000095,CT005,STF0023,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:43:00,15:30:00,15:28:00,Confirmed,14:33:00,15:28:00,Present,33.73587323407695,4.0,5.0,2025-10-12
ENR00000002,MEM000438,CT005,STF0023,FAC002,AR009,2025-08-07,2025-08-13,14:45:00,14:52:00,15:30:00,15:37:00,Confirmed,14:32:00,15:37:00,Present,20.249045285299744,3.0,3.0,2025-10-12
ENR00000003,MEM000012,CT005,STF0023,FAC002,AR009,2025-08-11,2025-08-13,14:45:00,14:47:00,15:30:00,15:32:00,Confirmed,14:39:00,15:32:00,Present,27.529613692523792,3.0,5.0,2025-10-12
ENR00000004,MEM000065,CT005,STF0023,FAC002,AR009,2025-08-06,2025-08-13,14:45:00,14:51:00,15:30:00,15:36:00,Confirmed,14:40:00,15:36:00,Present,24.343869533387057,5.0,4.0,2025-10-12
ENR00000005,MEM000373,CT005,STF0023,FAC002,AR009,2025-08-09,2025-08-13,14:45:00,14:45:00,15:30:00,15:30:00,Confirmed,14:44:00,15:30:00,Present,25.469196087090147,5.0,5.0,2025-10-12
ENR00000006,MEM000121,CT005,STF0023,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:45:00,15:30:00,,Confirmed,,,No Show,19.542568892942036,,,2025-10-12
ENR00000007,MEM000339,CT005,STF0023,FAC002,AR009,2025-08-11,2025-08-13,14:45:00,14:51:00,15:30:00,15:36:00,Confirmed,14:43:00,15:36:00,Present,18.114350781377095,3.0,3.0,2025-10-12
ENR00000008,MEM000129,CT005,STF0023,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:55:00,15:30:00,15:40:00,Confirmed,14:30:00,15:40:00,Present,33.93915023736248,4.0,4.0,2025-10-12
ENR00000009,MEM000482,CT005,STF0023,FAC002,AR009,2025-08-07,2025-08-13,14:45:00,14:49:00,15:30:00,15:34:00,Confirmed,14:37:00,15:34:00,Present,25.964243914729934,3.0,4.0,2025-10-12
ENR00000010,MEM000381,CT005,STF0023,FAC002,AR009,2025-08-10,2025-08-13,14:45:00,14:45:00,15:30:00,15:30:00,Confirmed,14:42:00,15:30:00,Present,19.411848524656932,3.0,4.0,2025-10-12
ENR00000011,MEM000359,CT005,STF0023,FAC002,AR009,2025-08-11,2025-08-13,14:45:00,14:48:00,15:30:00,15:33:00,Confirmed,14:39:00,15:33:00,Present,23.25807753026495,3.0,3.0,2025-10-12
ENR00000012,MEM000384,CT005,STF0023,FAC002,AR009,2025-08-08,2025-08-13,14:45:00,14:54:00,15:30:00,15:39:00,Confirmed,14:44:00,15:39:00,Present,29.009451958947444,4.0,3.0,2025-10-12
ENR00000013,MEM000041,CT005,STF0023,FAC002,AR009,2025-08-11,2025-08-13,14:45:00,14:41:00,15:30:00,15:26:00,Confirmed,14:30:00,15:26:00,Present,34.44665209982894,4.0,4.0,2025-10-12
ENR00000014,MEM000108,CT005,STF0023,FAC002,AR009,2025-08-08,2025-08-13,14:45:00,14:40:00,15:30:00,15:25:00,Confirmed,14:37:00,15:25:00,Present,18.01367387394977,4.0,3.0,2025-10-12
ENR00000015,MEM000488,CT008,STF0003,FAC002,AR005,2025-08-07,2025-08-13,20:30:00,20:33:00,21:15:00,21:18:00,Confirmed,20:27:00,21:18:00,Present,17.439231123715416,5.0,3.0,2025-10-12
ENR00000016,MEM000075,CT008,STF0003,FAC002,AR005,2025-08-10,2025-08-13,20:30:00,20:39:00,21:15:00,21:24:00,Confirmed,20:22:00,21:24:00,Present,18.983597526078615,5.0,3.0,2025-10-12
ENR00000017,MEM000029,CT008,STF0003,FAC002,AR005,2025-08-12,2025-08-13,20:30:00,20:34:00,21:15:00,21:19:00,Confirmed,20:25:00,21:19:00,Present,27.583285082613987,3.0,5.0,2025-10-12
ENR00000018,MEM000137,CT008,STF0003,FAC002,AR005,2025-08-12,2025-08-13,20:30:00,20:34:00,21:15:00,21:19:00,Confirmed,20:21:00,21:19:00,Present,32.75039152087085,5.0,3.0,2025-10-12
ENR00000019,MEM000398,CT008,STF0003,FAC002,AR005,2025-08-12,2025-08-13,20:30:00,20:38:00,21:15:00,21:23:00,Confirmed,20:25:00,21:23:00,Present,18.34720712816572,4.0,5.0,2025-10-12
ENR00000020,MEM000201,CT008,STF0003,FAC002,AR005,2025-08-11,2025-08-13,20:30:00,20:32:00,21:15:00,21:17:00,Confirmed,20:15:00,21:17:00,Present,26.621540454547887,5.0,4.0,2025-10-12
ENR00000021,MEM000037,CT008,STF0003,FAC002,AR005,2025-08-08,2025-08-13,20:30:00,20:27:00,21:15:00,21:12:00,Confirmed,20:22:00,21:12:00,Present,24.998384131700032,5.0,5.0,2025-10-12
ENR00000022,MEM000279,CT008,STF0003,FAC002,AR005,2025-08-13,2025-08-13,20:30:00,20:30:00,21:15:00,,Cancelled,,,Cancelled,0.0,,,2025-10-12
ENR00000023,MEM000241,CT008,STF0003,FAC002,AR005,2025-08-08,2025-08-13,20:30:00,20:29:00,21:15:00,21:14:00,Confirmed,20:18:00,21:14:00,Present,24.756857638459596,4.0,5.0,2025-10-12
ENR00000024,MEM000093,CT008,STF0003,FAC002,AR005,2025-08-11,2025-08-13,20:30:00,20:39:00,21:15:00,21:24:00,Confirmed,20:21:00,21:24:00,Present,28.784999605680845,4.0,5.0,2025-10-12
ENR00000025,MEM000166,CT009,STF0024,FAC001,AR002,2025-08-10,2025-08-13,09:30:00,09:25:00,10:30:00,10:25:00,Confirmed,09:27:00,10:25:00,Present,32.658647450613955,5.0,4.0,2025-10-12
ENR00000026,MEM000375,CT009,STF0024,FAC001,AR002,2025-08-11,2025-08-13,09:30:00,09:27:00,10:30:00,10:27:00,Confirmed,09:27:00,10:27:00,Present,25.481395376209047,4.0,5.0,2025-10-12
ENR00000027,MEM000240,CT009,STF0024,FAC001,AR002,2025-08-12,2025-08-13,09:30:00,09:35:00,10:30:00,10:35:00,Confirmed,09:28:00,10:35:00,Present,17.209282680788082,5.0,5.0,2025-10-12
ENR00000028,MEM000141,CT009,STF0024,FAC001,AR002,2025-08-12,2025-08-13,09:30:00,09:29:00,10:30:00,10:29:00,Confirmed,09:20:00,10:29:00,Present,19.041580573775644,4.0,3.0,2025-10-12
ENR00000029,MEM000445,CT009,STF0024,FAC001,AR002,2025-08-12,2025-08-13,09:30:00,09:37:00,10:30:00,10:37:00,Confirmed,09:30:00,10:37:00,Present,15.981712544911208,3.0,5.0,2025-10-12
ENR00000030,MEM000426,CT009,STF0024,FAC001,AR002,2025-08-08,2025-08-13,09:30:00,09:31:00,10:30:00,10:31:00,Confirmed,09:30:00,10:31:00,Present,24.361182868632664,5.0,3.0,2025-10-12
ENR00000031,MEM000307,CT009,STF0024,FAC001,AR002,2025-08-13,2025-08-13,09:30:00,09:38:00,10:30:00,10:38:00,Confirmed,09:26:00,10:38:00,Present,31.47285932554801,4.0,5.0,2025-10-12
