enrollmentid,memberid,instanceid,enrollmentdate,enrollmentstatus,paymentamount,checkintime,checkouttime
EN00000001,MEM000326,CI0000002,2025-09-20 19:51:39.755108,Attended,0.0,2025-09-26 00:00:00.421463,2025-09-26 00:58:00.421463
EN00000002,MEM001725,CI0000002,2025-09-24 09:03:46.342966,Attended,0.0,2025-09-26 00:00:00.473013,2025-09-26 01:58:00.473013
EN00000003,MEM000657,CI0000002,2025-09-23 16:43:45.228967,Attended,0.0,2025-09-26 00:00:00.359529,2025-09-26 01:12:00.359529
EN00000004,MEM001133,CI0000002,2025-09-23 00:35:47.441974,Attended,0.0,2025-09-26 00:00:00.332562,2025-09-26 01:15:00.332562
EN00000005,MEM000623,CI0000002,2025-09-25 08:50:19.673094,Attended,0.0,2025-09-26 00:00:00.152221,2025-09-26 01:15:00.152221
EN00000006,MEM001152,CI0000002,2025-09-24 08:30:13.685350,Attended,0.0,2025-09-26 00:00:00.802988,2025-09-26 00:55:00.802988
EN00000007,MEM000284,CI0000002,2025-09-23 15:36:34.323039,Attended,0.0,2025-09-26 00:00:00.660268,2025-09-26 00:48:00.660268
EN00000008,MEM000974,CI0000002,2025-09-26 00:00:00.670039,Attended,0.0,2025-09-26 00:00:00.031167,2025-09-26 01:17:00.031167
EN00000009,MEM000450,CI0000002,2025-09-23 19:07:36.612440,No Show,0.0,,
EN00000010,MEM000017,CI0000003,2025-09-24 05:17:42.145469,Attended,0.0,2025-09-26 00:00:00.512150,2025-09-26 01:53:00.512150
EN00000011,MEM001482,CI0000003,2025-09-23 17:54:42.077995,Attended,0.0,2025-09-26 00:00:00.392794,2025-09-26 01:38:00.392794
EN00000012,MEM001922,CI0000003,2025-09-18 17:17:43.255085,Attended,0.0,2025-09-26 00:00:00.452628,2025-09-26 01:07:00.452628
EN00000013,MEM000487,CI0000003,2025-09-24 06:46:27.770212,Attended,0.0,2025-09-26 00:00:00.407478,2025-09-26 01:05:00.407478
EN00000014,MEM001686,CI0000003,2025-09-22 16:52:27.701922,Attended,0.0,2025-09-26 00:00:00.029963,2025-09-26 01:37:00.029963
EN00000015,MEM001159,CI0000003,2025-09-22 17:34:29.125207,Attended,0.0,2025-09-26 00:00:00.263265,2025-09-26 00:52:00.263265
EN00000016,MEM000379,CI0000003,2025-09-23 03:46:32.647433,Attended,0.0,2025-09-26 00:00:00.666019,2025-09-26 01:45:00.666019
EN00000017,MEM000827,CI0000003,2025-09-18 23:48:26.569684,Attended,0.0,2025-09-26 00:00:00.749616,2025-09-26 01:30:00.749616
