membershipid,memberid,membershiptypeid,startdate,enddate,status,autorenew
MS0000001,MEM000001,MT002,2025-07-11,2025-08-10,Expired,False
MS0000002,MEM000002,MT002,2025-05-19,2025-06-18,Expired,False
MS0000003,MEM000003,MT001,2024-03-19,2024-04-18,Expired,False
MS0000004,MEM000004,MT001,2023-05-30,2023-06-29,Cancelled,False
MS0000005,MEM000004,MT003,2023-07-17,2023-08-16,Expired,False
MS0000006,MEM000005,MT002,2024-02-03,2024-03-04,Expired,False
MS0000007,MEM000006,MT001,2021-12-09,2022-01-08,Expired,False
MS0000008,MEM000006,MT003,2022-04-03,2022-05-03,Expired,False
MS0000009,MEM000007,MT002,2023-04-29,2023-05-29,Cancelled,False
MS0000010,MEM000007,MT002,2023-08-10,2023-09-09,Expired,False
MS0000011,MEM000008,MT005,2024-08-16,2024-09-15,Expired,False
MS0000012,MEM000009,MT009,2024-02-08,2024-02-08,Expired,False
MS0000013,MEM000010,MT005,2024-04-23,2024-05-23,Expired,False
MS0000014,MEM000011,MT003,2023-09-17,2023-10-17,Expired,False
MS0000015,MEM000011,MT002,2023-11-25,2023-12-25,Expired,False
MS0000016,MEM000012,MT003,2022-08-11,2022-09-10,Cancelled,False
MS0000017,MEM000012,MT003,2022-11-24,2022-12-24,Expired,False
MS0000018,MEM000013,MT004,2021-03-05,2021-04-04,Expired,False
MS0000019,MEM000013,MT009,2021-05-23,2021-05-23,Expired,False
MS0000020,MEM000014,MT003,2025-09-14,2025-10-14,Active,False
MS0000021,MEM000015,MT001,2025-05-29,2025-06-28,Expired,False
MS0000022,MEM000016,MT007,2021-11-29,2022-11-24,Expired,False
MS0000023,MEM000016,MT002,2023-01-04,2023-02-03,Expired,False
MS0000024,MEM000017,MT001,2020-12-13,2021-01-12,Expired,False
MS0000025,MEM000018,MT007,2023-01-28,2024-01-23,Expired,False
MS0000026,MEM000019,MT002,2021-10-02,2021-11-01,Expired,False
MS0000027,MEM000020,MT006,2022-08-20,2022-09-19,Expired,False
MS0000028,MEM000021,MT007,2024-07-30,2025-07-25,Expired,False
MS0000029,MEM000022,MT001,2021-01-23,2021-02-22,Expired,False
MS0000030,MEM000023,MT002,2023-12-24,2024-01-23,Expired,False
MS0000031,MEM000024,MT001,2024-06-15,2024-07-15,Expired,False
MS0000032,MEM000024,MT002,2024-08-14,2024-09-13,Expired,False
MS0000033,MEM000025,MT005,2023-02-11,2023-03-13,Expired,False
MS0000034,MEM000026,MT007,2021-03-26,2022-03-21,Expired,False
MS0000035,MEM000027,MT006,2021-01-16,2021-02-15,Expired,False
MS0000036,MEM000027,MT001,2021-03-03,2021-04-02,Expired,False
MS0000037,MEM000028,MT001,2025-05-22,2025-06-21,Expired,False
MS0000038,MEM000028,MT002,2025-07-23,2025-08-22,Cancelled,False
MS0000039,MEM000028,MT007,2025-10-14,2026-10-09,Cancelled,False
MS0000040,MEM000029,MT005,2020-11-11,2020-12-11,Cancelled,False
MS0000041,MEM000029,MT001,2021-02-01,2021-03-03,Expired,False
MS0000042,MEM000030,MT005,2023-03-01,2023-03-31,Expired,False
MS0000043,MEM000031,MT007,2024-12-27,2025-12-22,Active,True
MS0000044,MEM000032,MT004,2021-06-01,2021-07-01,Expired,False
MS0000045,MEM000033,MT001,2021-07-10,2021-08-09,Expired,False
MS0000046,MEM000034,MT004,2025-05-19,2025-06-18,Cancelled,False
MS0000047,MEM000034,MT004,2025-08-22,2025-09-21,Expired,False
MS0000048,MEM000035,MT007,2025-07-02,2026-06-27,Cancelled,False
MS0000049,MEM000035,MT003,2026-07-22,2026-08-21,Active,False
MS0000050,MEM000036,MT002,2023-03-10,2023-04-09,Expired,False
MS0000051,MEM000037,MT001,2021-05-18,2021-06-17,Cancelled,False
MS0000052,MEM000038,MT001,2020-11-18,2020-12-18,Expired,False
MS0000053,MEM000039,MT003,2023-09-22,2023-10-22,Expired,False
MS0000054,MEM000039,MT006,2023-11-17,2023-12-17,Expired,False
MS0000055,MEM000040,MT003,2024-05-07,2024-06-06,Expired,False
MS0000056,MEM000041,MT002,2023-03-16,2023-04-15,Expired,False
MS0000057,MEM000042,MT002,2021-03-07,2021-04-06,Expired,False
MS0000058,MEM000042,MT004,2021-04-18,2021-05-18,Expired,False
MS0000059,MEM000043,MT006,2022-03-13,2022-04-12,Expired,False
MS0000060,MEM000043,MT003,2022-06-16,2022-07-16,Expired,False
MS0000061,MEM000044,MT002,2024-09-16,2024-10-16,Expired,False
MS0000062,MEM000045,MT001,2023-12-01,2023-12-31,Expired,False
MS0000063,MEM000046,MT002,2025-08-04,2025-09-03,Expired,False
MS0000064,MEM000047,MT002,2022-08-11,2022-09-10,Expired,False
MS0000065,MEM000047,MT001,2022-12-01,2022-12-31,Expired,False
MS0000066,MEM000048,MT001,2024-10-24,2024-11-23,Expired,False
MS0000067,MEM000049,MT001,2023-02-23,2023-03-25,Expired,False
MS0000068,MEM000049,MT001,2023-05-14,2023-06-13,Expired,False
MS0000069,MEM000050,MT002,2021-08-01,2021-08-31,Expired,False
MS0000070,MEM000050,MT001,2021-10-22,2021-11-21,Expired,False
MS0000071,MEM000051,MT007,2022-08-15,2023-08-10,Expired,False
MS0000072,MEM000052,MT001,2025-05-25,2025-06-24,Expired,False
MS0000073,MEM000053,MT001,2025-09-18,2025-10-18,Expired,False
MS0000074,MEM000054,MT001,2022-01-14,2022-02-13,Expired,False
MS0000075,MEM000054,MT002,2022-03-29,2022-04-28,Expired,False
MS0000076,MEM000055,MT004,2022-01-21,2022-02-20,Cancelled,False
MS0000077,MEM000055,MT004,2022-05-13,2022-06-12,Expired,False
MS0000078,MEM000056,MT006,2025-06-05,2025-07-05,Expired,False
MS0000079,MEM000057,MT001,2024-08-04,2024-09-03,Expired,False
MS0000080,MEM000057,MT002,2024-10-03,2024-11-02,Expired,False
MS0000081,MEM000058,MT007,2022-03-12,2023-03-07,Expired,False
MS0000082,MEM000058,MT003,2023-03-11,2023-04-10,Expired,False
MS0000083,MEM000059,MT003,2025-05-21,2025-06-20,Expired,False
MS0000084,MEM000060,MT001,2021-02-09,2021-03-11,Expired,False
MS0000085,MEM000061,MT002,2025-01-08,2025-02-07,Expired,False
MS0000086,MEM000062,MT003,2021-07-26,2021-08-25,Expired,False
MS0000087,MEM000063,MT006,2023-06-04,2023-07-04,Expired,False
MS0000088,MEM000064,MT007,2023-05-03,2024-04-27,Cancelled,False
MS0000089,MEM000064,MT002,2024-06-21,2024-07-21,Expired,False
MS0000090,MEM000065,MT001,2023-09-19,2023-10-19,Expired,False
MS0000091,MEM000066,MT002,2022-12-07,2023-01-06,Expired,False
MS0000092,MEM000067,MT001,2023-12-08,2024-01-07,Cancelled,False
MS0000093,MEM000067,MT003,2024-03-01,2024-03-31,Expired,False
MS0000094,MEM000068,MT002,2025-07-30,2025-08-29,Expired,False
MS0000095,MEM000069,MT002,2025-06-20,2025-07-20,Expired,False
MS0000096,MEM000070,MT005,2025-02-17,2025-03-19,Expired,False
MS0000097,MEM000071,MT005,2025-08-21,2025-09-20,Expired,False
MS0000098,MEM000072,MT006,2023-10-24,2023-11-23,Cancelled,False
MS0000099,MEM000072,MT002,2023-11-28,2023-12-28,Expired,False
MS0000100,MEM000073,MT002,2021-06-15,2021-07-15,Expired,False
MS0000101,MEM000074,MT002,2025-04-29,2025-05-29,Expired,False
MS0000102,MEM000074,MT002,2025-07-16,2025-08-15,Expired,False
MS0000103,MEM000075,MT006,2020-11-13,2020-12-13,Expired,False
MS0000104,MEM000076,MT002,2022-12-19,2023-01-18,Expired,False
MS0000105,MEM000077,MT002,2022-11-28,2022-12-28,Cancelled,False
