paymentid,memberid,membershipid,amount,paymentdate,paymentmethod,transactionid,paymenttype,status,processeddate
PAY00000001,MEM000001,MS0000001,119.98,2025-07-11,Credit Card,TXN910188982,Membership + Registration,Completed,2025-07-11
PAY00000002,MEM000002,MS0000002,119.98,2025-05-19,Credit Card,TXN344282796,Membership + Registration,Completed,2025-05-19
PAY00000003,MEM000003,MS0000003,89.98,2024-03-19,Credit Card,TXN899471694,Membership + Registration,Completed,2024-03-19
PAY00000004,MEM000004,MS0000004,89.98,2023-05-30,Credit Card,TXN823344647,Membership + Registration,Completed,2023-05-30
PAY00000005,MEM000004,MS0000005,229.98,2023-07-17,Debit Card,TXN859078964,Membership + Registration,Completed,2023-07-17
PAY00000006,MEM000005,MS0000006,119.98,2024-02-03,Credit Card,TXN226098470,Membership + Registration,Completed,2024-02-03
PAY00000007,MEM000006,MS0000007,89.98,2021-12-09,Credit Card,TXN944012529,Membership + Registration,Refunded,2021-12-14
PAY00000008,MEM000006,MS0000008,229.98,2022-04-03,Debit Card,TXN440713936,Membership + Registration,Completed,2022-04-03
PAY00000009,MEM000007,MS0000009,119.98,2023-04-29,Credit Card,TXN172038322,Membership + Registration,Pending,2023-05-02
PAY00000010,MEM000007,MS0000010,119.98,2023-08-10,Credit Card,TXN350230153,Membership + Registration,Completed,2023-08-10
PAY00000011,MEM000008,MS0000011,59.99,2024-08-16,Credit Card,TXN938287070,Membership + Registration,Completed,2024-08-16
PAY00000012,MEM000009,MS0000012,25.0,2024-02-08,Debit Card,TXN650425670,Monthly Membership,Completed,2024-02-08
PAY00000013,MEM000010,MS0000013,59.99,2024-04-23,Bank Transfer,TXN468346185,Membership + Registration,Completed,2024-04-23
PAY00000014,MEM000011,MS0000014,229.98,2023-09-17,Credit Card,TXN334870057,Membership + Registration,Completed,2023-09-17
PAY00000015,MEM000011,MS0000015,119.98,2023-11-25,Credit Card,TXN971044347,Membership + Registration,Completed,2023-11-25
PAY00000016,MEM000012,MS0000016,229.98,2022-08-11,Credit Card,TXN449328872,Membership + Registration,Completed,2022-08-11
PAY00000017,MEM000012,MS0000017,229.98,2022-11-24,Credit Card,TXN311907568,Membership + Registration,Completed,2022-11-24
PAY00000018,MEM000013,MS0000018,54.99,2021-03-05,Check,TXN481041363,Membership + Registration,Completed,2021-03-05
PAY00000019,MEM000013,MS0000019,25.0,2021-05-23,Credit Card,TXN423684739,Monthly Membership,Completed,2021-05-23
