equipmentid,facilityid,areaid,equipmentname,equipmenttype,brand,model,serialnumber,purchasedate,purchaseprice,warrantyexpiry,status
EQ0001,FAC001,AR001,Dumbbells #1,Free Weights,StairMaster,Dumbbells-292,BA482396-ABD,2022-08-25,58,2024-08-24,Active
EQ0002,FAC001,AR001,Dumbbells #2,Free Weights,Technogym,Dumbbells-146,16FBBB99-8BE,2021-02-24,195,2022-02-24,Active
EQ0003,FAC001,AR001,Dumbbells #3,Free Weights,Life Fitness,Dumbbells-600,35D0CC81-AA9,2022-10-22,117,2025-10-21,Maintenance
EQ0004,FAC001,AR001,Dumbbells #4,Free Weights,NordicTrack,Dumbbells-660,AD748567-953,2025-07-22,166,2027-07-22,Maintenance
EQ0005,FAC001,AR001,Dumbbells #5,Free Weights,NordicTrack,Dumbbells-706,5311EA56-E21,2023-04-27,66,2024-04-26,Active
EQ0006,FAC001,AR001,Dumbbells #6,Free Weights,TRX,Dumbbells-411,7075A9C7-A1F,2024-03-31,142,2026-03-31,Active
EQ0007,FAC001,AR001,Dumbbells #7,Free Weights,Cybex,Dumbbells-391,8BCE2C3C-7D3,2022-03-26,184,2024-03-25,Maintenance
EQ0008,FAC001,AR001,Dumbbells #8,Free Weights,NordicTrack,Dumbbells-737,A060176D-8C2,2022-10-05,166,2024-10-04,Active
EQ0009,FAC001,AR001,Dumbbells #9,Free Weights,Cybex,Dumbbells-907,E2AB90E6-DF6,2022-05-19,125,2023-05-19,Active
EQ0010,FAC001,AR001,Dumbbells #10,Free Weights,Life Fitness,Dumbbells-815,2B539A62-DE2,2022-09-10,141,2023-09-10,Active
EQ0011,FAC001,AR001,Dumbbells #11,Free Weights,TRX,Dumbbells-130,795F849D-3BD,2024-01-26,158,2025-01-25,Active
EQ0012,FAC001,AR001,Dumbbells #12,Free Weights,Bowflex,Dumbbells-667,6F719662-038,2023-10-06,71,2025-10-05,Out of Service
EQ0013,FAC001,AR001,Dumbbells #13,Free Weights,Cybex,Dumbbells-544,8668A834-39B,2024-11-05,167,2025-11-05,Active
EQ0014,FAC001,AR001,Dumbbells #14,Free Weights,TRX,Dumbbells-616,E5141ED1-2F1,2024-01-07,185,2027-01-06,Active
EQ0015,FAC001,AR001,Dumbbells #15,Free Weights,Technogym,Dumbbells-821,19FD3AC4-155,2024-10-01,156,2027-10-01,Active
EQ0016,FAC001,AR001,Dumbbells #16,Free Weights,StairMaster,Dumbbells-346,736F8319-C38,2024-05-06,169,2027-05-06,Active
EQ0017,FAC001,AR001,Dumbbells #17,Free Weights,NordicTrack,Dumbbells-596,6B5EA4FC-4A6,2022-05-21,146,2024-05-20,Active
